playerId,playerName,club,position,gamesPlayed,goals,totalShots,goalConversionPercentage,shotFromSetPiece,headedGoals,offsides,bigChancesMissed,shotsOnTarget,penaltiesTaken,freeKickGoal,leftFootGoals,penaltyConversion,successfulDribbles,shotsOffTarget,penaltyGoals,goalsFromInsideTheBox,rightFootGoals,setPieceConversion,successfulDribblesPercentage,blockedShots,penaltyWon,goalsFromOutsideTheBox,hitWoodwork,tackles,errorLeadToGoal,cleanSheet,interceptions,errorLeadToShot,penaltyConceded,ownGoals,dribbledPast,clearances,totalPasses,bigChancesCreated,accurateFinalThirdPasses,accurateLongBalls,assists,accuratePassesPercentage,inaccuratePasses,accurateOppositionHalfPasses,accurateCrossesPercentage,saves,savedShotsFromInsideTheBox,punches,crossesNotClaimed,savedShotsFromOutsideTheBox,runsOut,successfulRunsOut,goalsConcededInsideTheBox,penaltyFaced,penaltySave,goalsConcededOutsideTheBox,highClaims,yellowCards,aerialDuelsWon,minutesPlayed,possessionLost,redCards,aerialDuelsWonPercentage,wasFouled,groundDuelsWon,totalDuelsWon,fouls,matchesStarted,groundDuelsWonPercentage,totalDuelsWonPercentage,dispossessed,rating
972566,Denis Júnior,Ferroviária,G,19,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,5,1,2,0,0,3,18,488,0,11,68,0,61.07,190,48,0.0,62,39,11,0,23,4,3,19,3,0,3,11,1,6,1710,194,0,100.0,4,4,10,0,19,57.14,76.92,0,7.16
1020235,Halls,Vila Nova FC,G,19,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,7,0,1,0,0,0,28,382,0,17,63,0,45.29,209,44,0.0,46,25,16,0,21,8,7,12,5,2,6,28,2,7,1710,219,0,87.5,3,2,9,0,19,100.0,90.0,0,6.97
986864,Jean Drosny,Volta Redonda,G,19,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,6,0,0,0,0,0,20,392,0,13,44,0,67.35,128,30,0.0,52,31,6,0,19,10,10,17,2,0,4,12,1,2,1710,132,0,100.0,3,4,6,0,19,100.0,100.0,0,6.93
794897,Matheus Albino,CRB,G,18,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,6,0,1,1,1,1,34,517,1,11,57,0,74.66,131,25,0.0,83,55,20,0,28,4,2,13,4,2,4,14,3,12,1620,136,0,92.31,8,6,18,1,18,75.0,85.71,0,7.5
914169,Mateus Pasinato,Cuiabá,G,18,0,0,0.0,0,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,100.0,0,0,0,0,0,1,6,0,0,0,0,0,20,430,0,32,90,0,69.53,131,66,0.0,46,22,9,0,24,4,4,19,2,0,2,13,2,6,1620,138,0,100.0,3,4,10,0,18,100.0,100.0,0,6.92
797866,Airton,Novorizontino,G,17,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,0,19,350,0,12,79,0,71.43,100,43,0.0,69,39,9,0,29,6,6,11,1,0,2,26,2,8,1530,103,0,88.89,3,1,9,0,17,100.0,90.0,0,7.49
166279,Léo Vieira,Chapecoense,G,17,0,0,0.0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,100.0,0,0,0,0,1,1,5,0,1,0,0,0,39,438,0,8,62,0,61.64,168,41,0.0,70,33,15,0,36,26,24,15,2,1,0,20,2,13,1530,171,0,86.67,3,2,15,0,17,100.0,88.24,0,7.36
1018555,Matheus Mendes,América Mineiro,G,17,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,2,0,3,0,0,0,0,0,34,422,0,16,51,0,67.3,138,35,0.0,50,22,16,1,27,10,9,17,1,0,4,8,2,5,1530,141,0,100.0,2,4,9,0,17,100.0,100.0,0,6.86
1128850,Mycael,Athletico,G,17,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,1,3,0,0,0,0,0,16,339,1,27,74,0,59.88,136,59,0.0,40,16,6,0,24,9,9,22,1,0,1,5,1,3,1530,140,0,100.0,4,4,7,0,17,100.0,100.0,0,6.69
874777,Elias Martello,Operário-PR,G,16,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,6,0,0,0,0,0,24,411,0,10,91,0,67.4,134,53,0.0,41,23,5,0,17,16,16,16,2,0,1,6,0,5,1440,136,0,100.0,3,2,7,0,16,100.0,100.0,0,6.93
869424,Victor Souza,Botafogo-SP,G,15,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,0,0,1,0,0,10,301,0,7,58,0,63.79,109,33,0.0,37,21,8,0,15,2,2,19,5,1,2,11,2,3,1350,110,0,75.0,2,1,4,1,15,50.0,66.67,0,6.88
881483,Igor Bohn,Avaí,G,13,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,2,4,0,0,0,0,0,22,295,0,16,61,0,61.69,113,45,0.0,48,21,17,1,27,7,7,12,0,0,3,15,0,5,1170,116,0,100.0,1,1,6,0,13,100.0,100.0,0,7.08
1507616,Pedro Morisco,Coritiba,G,12,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,8,0,0,0,0,0,16,344,0,16,67,0,72.09,96,35,0.0,54,23,8,0,29,8,8,7,1,0,1,21,1,3,1080,101,0,100.0,1,1,4,1,12,50.0,80.0,0,7.75
1106840,Adriel,Athletic Club,G,12,0,2,0.0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,1,2,0,0,1,0,0,21,343,0,12,52,0,67.06,113,23,0.0,32,22,6,0,10,7,7,13,2,0,2,6,2,5,1015,117,1,100.0,2,1,6,2,12,33.33,75.0,0,6.73
1198002,Kauã Moroso,Criciúma,G,11,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,0,2,0,1,0,0,0,16,200,0,5,35,0,73.0,54,21,0.0,32,16,7,0,16,6,6,11,0,0,1,6,0,6,945,55,0,100.0,2,3,9,0,10,100.0,100.0,0,6.96
39999,Renan,Amazonas FC,G,11,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,14,205,0,10,43,0,64.39,73,36,0.0,30,16,7,0,14,2,2,9,0,0,2,1,1,1,929,73,0,100.0,1,1,2,0,11,100.0,100.0,0,6.9
984887,Gabriel Mesquita,Paysandu SC,G,10,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,1,18,235,0,17,53,0,45.11,129,41,0.0,36,24,8,0,11,5,5,6,2,0,3,10,0,6,886,133,0,100.0,4,3,9,0,9,75.0,90.0,0,7.23
977806,Matheus Nogueira,Paysandu SC,G,10,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,0,0,8,225,0,16,64,0,59.11,92,47,0.0,28,19,6,0,9,3,3,11,0,0,1,4,1,7,824,95,0,100.0,1,0,7,0,10,0.0,100.0,0,6.95
124996,Vladimir,Atlético Goianiense,G,10,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2,0,0,1,0,1,3,210,0,14,30,0,56.67,91,22,0.0,24,12,2,0,12,4,4,10,3,0,2,4,3,1,828,92,0,100.0,1,1,2,1,9,33.33,50.0,0,6.68
840166,Alisson,Criciúma,G,9,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,5,0,1,0,0,0,11,198,0,8,40,0,53.03,93,26,0.0,18,6,4,0,11,4,4,4,0,0,1,9,1,4,765,97,0,100.0,3,1,5,0,9,100.0,100.0,0,6.99
90812,Marquinhos Gabriel,Avaí,M,19,2,25,8.0,2,0,2,2,9,0,0,1,0.0,31,11,0,1,1,0.0,54.39,5,0,1,3,14,0,4,6,0,0,0,8,17,692,4,208,35,3,87.72,85,399,20.0,0,0,0,0,0,0,0,15,0,0,4,0,2,6,1673,239,0,30.0,25,70,76,7,19,53.03,50.0,22,7.19
1120738,Rafael Carvalheira,Chapecoense,M,19,4,25,16.0,0,1,0,0,8,0,0,3,0.0,3,12,0,4,0,0.0,60.0,5,0,0,1,19,0,1,19,0,0,0,14,17,424,1,96,18,1,87.5,53,202,41.67,0,0,0,0,0,0,0,12,0,0,0,0,1,4,1523,85,0,18.18,10,32,36,17,17,44.44,38.3,7,6.99
