goalsScored,goalsConceded,ownGoals,assists,shots,penaltyGoals,penaltiesTaken,freeKickGoals,freeKickShots,goalsFromInsideTheBox,goalsFromOutsideTheBox,shotsFromInsideTheBox,shotsFromOutsideTheBox,headedGoals,leftFootGoals,rightFootGoals,bigChances,bigChancesCreated,bigChancesMissed,shotsOnTarget,shotsOffTarget,blockedScoringAttempt,successfulDribbles,dribbleAttempts,corners,hitWoodwork,fastBreaks,fastBreakGoals,fastBreakShots,averageBallPossession,totalPasses,accuratePasses,accuratePassesPercentage,totalOwnHalfPasses,accurateOwnHalfPasses,accurateOwnHalfPassesPercentage,totalOppositionHalfPasses,accurateOppositionHalfPasses,accurateOppositionHalfPassesPercentage,totalLongBalls,accurateLongBalls,accurateLongBallsPercentage,totalCrosses,accurateCrosses,accurateCrossesPercentage,cleanSheets,tackles,interceptions,saves,errorsLeadingToGoal,errorsLeadingToShot,penaltiesCommited,penaltyGoalsConceded,clearances,clearancesOffLine,lastManTackles,totalDuels,duelsWon,duelsWonPercentage,totalGroundDuels,groundDuelsWon,groundDuelsWonPercentage,totalAerialDuels,aerialDuelsWon,aerialDuelsWonPercentage,possessionLost,offsides,fouls,yellowCards,yellowRedCards,redCards,avgRating,accurateFinalThirdPassesAgainst,accurateOppositionHalfPassesAgainst,accurateOwnHalfPassesAgainst,accuratePassesAgainst,bigChancesAgainst,bigChancesCreatedAgainst,bigChancesMissedAgainst,clearancesAgainst,cornersAgainst,crossesSuccessfulAgainst,crossesTotalAgainst,dribbleAttemptsTotalAgainst,dribbleAttemptsWonAgainst,errorsLeadingToGoalAgainst,errorsLeadingToShotAgainst,hitWoodworkAgainst,interceptionsAgainst,keyPassesAgainst,longBallsSuccessfulAgainst,longBallsTotalAgainst,offsidesAgainst,redCardsAgainst,shotsAgainst,shotsBlockedAgainst,shotsFromInsideTheBoxAgainst,shotsFromOutsideTheBoxAgainst,shotsOffTargetAgainst,shotsOnTargetAgainst,blockedScoringAttemptAgainst,tacklesAgainst,totalFinalThirdPassesAgainst,oppositionHalfPassesTotalAgainst,ownHalfPassesTotalAgainst,totalPassesAgainst,yellowCardsAgainst,throwIns,goalKicks,ballRecovery,freeKicks,id,matches,awardedMatches,team_id,team_name,team_key
24,26,0,16,279,3,4,0,9,23,1,180,99,6,5,13,43,32,26,90,119,70,141,275,108,9,23,3,21,52.315789473684,7792,6342,81.391170431211,3441,3142,91.310665504214,4739,3306,69.761553070268,767,353,46.023468057366,388,106,27.319587628866,3,305,182,42,3,3,3,2,473,0,1,2006,1032,51.445663010967,1347,679,50.408314773571,659,353,53.566009104704,2525,21,279,36,2,4,6.8844594594595,995,2479,3141,5555,27,17,8,566,63,65,276,251,117,2,5,6,165,142,426,1054,20,3,207,56,103,104,83,68,56,290,1651,3791,3559,7074,45,441,144,860,238,39408,19,0,1967,Athletico,athletico
22,26,2,15,216,4,4,0,7,19,3,134,82,4,8,10,33,24,18,75,77,64,139,294,106,5,24,3,22,50.789473684211,7425,6117,82.383838383838,3502,3191,91.119360365505,4284,3011,70.284780578898,673,349,51.8573551263,361,85,23.545706371191,3,284,143,53,3,4,2,2,489,3,3,1911,963,50.392464678179,1348,693,51.409495548961,563,270,47.957371225577,2350,32,259,51,2,3,6.8464406779661,1117,2578,3424,5920,29,23,15,523,86,82,337,249,123,1,5,3,157,174,426,946,42,5,241,64,132,109,97,80,64,296,1748,3825,3738,7226,40,425,161,832,275,39671,19,0,342775,Athletic Club,athletic-club
21,20,1,13,272,5,6,0,10,18,3,131,141,4,6,10,38,27,23,78,119,75,153,291,88,9,17,0,17,53.789473684211,7960,6506,81.733668341709,3696,3324,89.935064935065,4617,3275,70.933506606021,699,315,45.064377682403,353,93,26.345609065156,7,314,151,45,1,2,2,2,473,0,5,2057,1049,50.996596985902,1413,710,50.247699929229,644,339,52.639751552795,2502,27,294,52,1,2,6.8909698996655,1010,2381,2959,5253,23,17,14,447,75,87,306,302,142,1,5,7,193,152,478,1116,65,5,196,40,113,83,93,63,40,287,1703,3733,3348,6775,56,413,148,925,249,39410,19,0,39634,Operário-PR,operario-pr
18,20,0,12,258,1,1,0,12,11,5,134,124,3,7,6,27,19,18,86,105,67,142,267,92,7,15,3,13,49.789473684211,6951,5492,79.010214357646,2598,2305,88.722093918399,4752,3282,69.065656565657,778,381,48.971722365039,399,95,23.809523809524,6,241,164,44,1,5,4,4,445,2,2,1911,937,49.031920460492,1299,637,49.037721324095,612,300,49.019607843137,2504,32,283,58,0,4,6.8879598662207,1109,2476,3214,5603,36,19,21,583,99,87,341,240,128,4,8,9,128,155,418,986,26,1,220,60,129,91,95,65,60,274,1783,3821,3576,7056,50,453,153,845,257,39670,19,0,7314,Atlético Goianiense,atletico-goianiense
20,26,2,14,282,2,3,1,16,15,5,145,137,4,5,11,36,24,26,97,105,80,132,269,112,8,20,2,18,56.631578947368,8592,7138,83.077281191806,3844,3520,91.571279916753,5193,3724,71.711919892163,865,442,51.098265895954,445,106,23.820224719101,3,253,122,55,2,7,2,2,415,1,5,1804,895,49.611973392461,1271,629,49.48859166011,533,266,49.906191369606,2496,31,239,46,1,3,6.8721649484536,1137,2390,2830,5134,26,19,12,593,104,86,337,246,116,3,8,4,170,176,460,1072,38,2,231,62,128,103,90,79,62,305,1764,3680,3183,6526,42,440,138,896,247,39501,19,0,1973,América Mineiro,america-mineiro
14,21,0,9,322,0,0,0,15,12,1,151,171,3,4,6,26,17,17,81,128,113,123,233,103,10,7,1,6,54.263157894737,8247,6937,84.115435916091,3812,3462,90.818467995803,4860,3591,73.888888888889,766,408,53.263707571802,425,116,27.294117647059,6,256,157,52,3,2,2,2,458,1,2,1890,966,51.111111111111,1288,678,52.639751552795,602,288,47.840531561462,2296,32,258,44,0,1,6.9127868852459,1335,2929,2844,5687,31,24,16,528,86,86,340,241,120,0,5,4,166,188,426,967,27,3,246,76,145,101,98,72,76,251,1962,4197,3126,6983,67,368,156,821,305,39610,19,0,6982,Volta Redonda,volta-redonda
18,21,1,12,256,1,1,0,15,15,1,136,120,3,5,8,23,18,16,78,106,72,111,218,102,6,24,4,23,42.947368421053,6089,4647,76.317950402365,2706,2379,87.915742793792,3752,2371,63.192963752665,706,321,45.467422096317,369,103,27.913279132791,5,284,118,64,3,1,2,2,639,2,0,1998,1009,50.500500500501,1277,650,50.900548159749,721,359,49.791955617198,2408,31,252,49,0,2,6.8766666666667,1597,3612,3235,6735,36,28,26,481,114,112,481,269,133,3,4,2,146,225,428,928,33,0,303,86,173,130,132,85,86,260,2304,5071,3510,8100,56,370,201,836,264,39407,19,0,1997,Paysandu SC,paysandu-sc
18,22,0,12,254,2,2,1,16,16,2,122,132,4,2,12,24,18,14,79,98,77,119,253,77,5,22,2,20,48.526315789474,7533,6141,81.521306252489,3976,3554,89.386317907445,3857,2660,68.965517241379,762,381,50.0,300,73,24.333333333333,5,299,159,62,1,9,3,3,531,0,2,1913,977,51.071615263983,1340,705,52.611940298507,573,272,47.469458987784,2320,27,224,53,4,9,6.8662251655629,1567,3335,3164,6386,42,34,24,399,139,113,466,295,156,3,6,4,162,200,508,980,45,0,269,85,160,109,100,84,85,265,2310,4750,3433,7717,47,384,179,859,293,39608,19,0,35285,Ferroviária,ferroviaria
18,25,0,9,228,2,2,0,11,15,1,124,104,4,6,6,33,22,20,66,99,63,125,245,89,2,18,2,16,47.736842105263,6673,5262,78.855087666717,2985,2660,89.112227805695,4035,2681,66.443618339529,734,318,43.324250681199,347,79,22.766570605187,4,278,150,56,4,8,4,4,579,1,3,1930,967,50.103626943005,1257,627,49.880668257757,673,340,50.520059435364,2394,28,267,51,1,4,6.8039603960396,1484,3169,2924,5995,32,19,15,489,115,98,395,240,114,1,8,12,152,200,466,1038,34,4,281,81,153,128,118,82,81,260,2158,4538,3259,7402,38,364,165,840,226,39406,19,0,336664,Amazonas FC,amazonas-fc
12,27,1,4,223,1,1,0,6,10,1,116,107,2,1,8,24,16,15,67,103,53,108,238,98,3,20,1,20,47.789473684211,7438,6007,80.760957246572,3359,3016,89.788627567728,4490,3084,68.685968819599,641,302,47.113884555382,411,93,22.627737226277,5,242,132,46,2,5,5,4,488,2,3,1863,887,47.611379495437,1173,562,47.911338448423,690,325,47.101449275362,2524,28,238,42,1,1,6.7862416107383,1518,3396,3470,6743,51,32,30,567,102,123,418,209,108,1,5,6,159,200,499,1067,23,2,266,75,159,107,118,73,75,287,2193,4777,3802,8161,43,442,167,869,218,39502,19,0,1979,Botafogo-SP,botafogo-sp
